time_stamp,sitting,standing,walking,grazing,x_0,x_29,x_59,x_89,x_119,x_149,x_179,x_209,x_239,x_269,y_0,y_29,y_59,y_89,y_119,y_149,y_179,y_209,y_239,y_269,z_0,z_29,z_59,z_89,z_119,z_149,z_179,z_209,z_239,z_269
2019-02-04T18:06:33,0,1,0,0,-0.062,-0.109,-0.094,-0.09,-0.109,-0.094,-0.094,-0.102,-0.109,-0.094,0.805,0.816,0.805,0.813,0.824,0.82,0.809,0.797,0.816,0.809,0.594,0.59,0.586,0.582,0.578,0.586,0.586,0.582,0.59,0.59
2019-02-04T18:06:43,0,1,0,0,-0.09,-0.105,-0.109,-0.102,-0.102,-0.098,-0.09,-0.105,-0.098,-0.105,0.813,0.805,0.801,0.809,0.797,0.801,0.801,0.801,0.797,0.809,0.578,0.582,0.586,0.586,0.578,0.602,0.586,0.582,0.582,0.582
2019-02-04T18:06:53,0,1,0,0,-0.082,-0.078,-0.09,-0.086,-0.086,-0.078,-0.078,-0.066,-0.066,-0.105,0.816,0.797,0.801,0.805,0.816,0.797,0.793,0.793,0.801,0.797,0.59,0.594,0.59,0.582,0.613,0.586,0.59,0.586,0.594,0.59
2019-02-04T18:07:03,0,1,0,0,-0.07,-0.07,-0.062,-0.098,-0.062,-0.066,-0.074,-0.059,-0.074,-0.086,0.809,0.793,0.797,0.816,0.797,0.797,0.805,0.801,0.805,0.797,0.59,0.586,0.586,0.598,0.59,0.598,0.598,0.594,0.594,0.598
2019-02-04T18:07:13,0,1,0,0,-0.074,-0.07,-0.086,-0.062,-0.066,-0.02,-0.039,-0.102,-0.094,-0.098,0.805,0.793,0.805,0.801,0.801,0.789,0.789,0.789,0.809,0.805,0.594,0.59,0.598,0.598,0.594,0.594,0.598,0.508,0.59,0.586
2019-02-04T18:07:23,0,1,0,0,-0.102,-0.109,-0.113,-0.094,-0.094,-0.082,-0.078,-0.078,-0.078,-0.07,0.801,0.809,0.781,0.801,0.805,0.801,0.797,0.801,0.789,0.793,0.582,0.586,0.582,0.59,0.594,0.594,0.602,0.598,0.574,0.555
2019-02-04T18:07:33,0,1,0,0,-0.168,-0.16,-0.156,-0.141,-0.145,-0.133,-0.137,-0.156,-0.148,-0.137,0.746,0.805,0.805,0.813,0.813,0.805,0.813,0.824,0.813,0.809,0.621,0.57,0.586,0.574,0.57,0.574,0.574,0.574,0.57,0.57
2019-02-04T18:07:43,0,1,0,0,-0.137,-0.137,-0.129,-0.141,-0.141,-0.137,-0.145,-0.145,-0.133,-0.125,0.82,0.805,0.816,0.797,0.809,0.801,0.809,0.809,0.813,0.816,0.57,0.574,0.574,0.566,0.57,0.57,0.566,0.574,0.574,0.586
2019-02-04T18:07:53,0,1,0,0,-0.137,-0.121,-0.082,-0.098,-0.129,-0.105,-0.086,-0.102,-0.086,-0.035,0.816,0.809,0.789,0.793,0.801,0.809,0.805,0.813,0.762,0.797,0.566,0.582,0.57,0.57,0.578,0.602,0.586,0.563,0.609,0.598
2019-02-04T18:08:03,0,1,0,0,-0.062,-0.066,-0.078,-0.082,-0.078,-0.078,-0.078,-0.156,-0.121,-0.125,0.813,0.789,0.801,0.805,0.801,0.809,0.801,0.762,0.805,0.801,0.594,0.574,0.574,0.59,0.598,0.598,0.598,0.633,0.59,0.59
2019-02-04T18:08:13,0,1,0,0,-0.141,-0.141,-0.137,-0.137,-0.109,-0.109,-0.109,-0.121,-0.105,-0.109,0.82,0.805,0.797,0.793,0.809,0.82,0.805,0.797,0.797,0.793,0.586,0.59,0.578,0.598,0.582,0.59,0.598,0.598,0.59,0.586
2019-02-04T18:08:23,0,1,0,0,-0.113,-0.117,-0.117,-0.121,-0.125,-0.129,-0.133,-0.121,-0.121,-0.125,0.801,0.793,0.785,0.781,0.789,0.797,0.793,0.793,0.805,0.789,0.613,0.605,0.594,0.586,0.598,0.602,0.598,0.594,0.598,0.598
2019-02-04T18:08:33,0,1,1,0,-0.125,-0.125,-0.105,-0.105,-0.105,-0.109,0.633,0.613,0.641,0.402,0.805,0.781,0.793,0.797,0.793,0.793,0.68,0.551,0.551,0.605,0.598,0.594,0.605,0.613,0.609,0.602,0.621,0.539,0.488,0.566
2019-02-04T18:08:43,0,1,0,0,0.113,-0.176,-0.16,-0.191,-0.199,-0.195,-0.156,-0.195,-0.219,-0.227,0.926,0.781,0.809,0.832,0.809,0.801,0.816,0.777,0.801,0.793,0.75,0.406,0.555,0.563,0.551,0.539,0.539,0.574,0.57,0.57
2019-02-04T18:08:53,0,1,0,0,-0.176,-0.195,-0.207,-0.211,-0.184,-0.18,-0.145,-0.16,-0.168,-0.152,0.801,0.793,0.797,0.793,0.797,0.82,0.824,0.805,0.805,0.801,0.563,0.57,0.563,0.566,0.559,0.582,0.559,0.566,0.566,0.57
