time_stamp,x,y,z,sitting,standing,walking,grazing,z_score_x,z_score_y,z_score_z
2018-12-10 13:52:47,-0.211,0.898,0.414,0,1,0,0,-1.265,0.836,-0.2
2018-12-10 13:52:48,-0.219,0.883,0.414,0,1,0,0,-1.285,0.755,-0.2
2018-12-10 13:52:49,-0.219,0.887,0.41,0,1,0,0,-1.285,0.777,-0.228
2018-12-10 13:52:50,-0.219,0.875,0.398,0,1,0,0,-1.285,0.712,-0.312
2018-12-10 13:52:51,-0.23,0.91,0.43,0,1,0,0,-1.313,0.9,-0.088
2018-12-10 13:52:52,-0.234,0.875,0.418,0,1,0,0,-1.323,0.712,-0.172
2018-12-10 13:52:53,-0.195,0.84,0.43,0,1,0,0,-1.224,0.524,-0.088
2018-12-10 13:52:54,-0.199,0.828,0.48,0,1,0,0,-1.234,0.46,0.262
2018-12-10 13:52:55,-0.25,0.906,0.391,0,1,0,0,-1.364,0.879,-0.361
2018-12-10 13:52:56,-0.184,0.922,0.395,0,1,0,0,-1.196,0.965,-0.333
2018-12-10 13:52:57,-0.258,0.867,0.391,0,1,0,0,-1.384,0.669,-0.361
2018-12-10 13:52:58,-0.254,0.852,0.387,0,1,0,0,-1.374,0.588,-0.389
2018-12-10 13:52:59,-0.23,0.789,0.48,0,1,0,0,-1.313,0.25,0.262
2018-12-10 13:53:00,-0.23,0.871,0.418,0,1,0,0,-1.313,0.691,-0.172
2018-12-10 13:53:01,-0.184,0.879,0.398,0,1,0,0,-1.196,0.734,-0.312
2018-12-10 13:53:02,-0.168,0.891,0.406,0,1,0,0,-1.155,0.798,-0.256
2018-12-10 13:53:03,-0.184,0.902,0.402,0,1,0,0,-1.196,0.857,-0.284
2018-12-10 13:53:04,-0.195,0.871,0.383,0,1,0,0,-1.224,0.691,-0.417
2018-12-10 13:53:05,-0.156,0.902,0.406,0,1,0,0,-1.125,0.857,-0.256
2018-12-10 13:53:06,-0.156,0.883,0.43,0,1,0,0,-1.125,0.755,-0.088
2018-12-10 13:53:07,-0.211,0.91,0.434,0,1,0,0,-1.265,0.9,-0.06
2018-12-10 13:53:08,-0.156,0.867,0.398,0,1,0,0,-1.125,0.669,-0.312
2018-12-10 13:53:09,-0.195,0.875,0.418,0,1,0,0,-1.224,0.712,-0.172
2018-12-10 13:53:10,-0.16,0.867,0.426,0,1,0,0,-1.135,0.669,-0.116
2018-12-10 13:53:11,-0.148,0.898,0.441,0,1,0,0,-1.104,0.836,-0.011
2018-12-10 13:53:12,-0.168,0.859,0.441,0,1,0,0,-1.155,0.626,-0.011
2018-12-10 13:53:13,-0.113,0.875,0.461,0,1,0,0,-1.015,0.712,0.129
2018-12-10 13:53:14,-0.102,0.891,0.453,0,1,0,0,-0.987,0.798,0.073
2018-12-10 13:53:15,-0.113,0.871,0.438,0,1,0,0,-1.015,0.691,-0.032
2018-12-10 13:53:16,-0.137,0.859,0.449,0,1,0,0,-1.076,0.626,0.045
2018-12-10 13:53:17,-0.16,0.867,0.461,0,1,0,0,-1.135,0.669,0.129
2018-12-10 13:53:18,-0.137,0.867,0.438,0,1,0,0,-1.076,0.669,-0.032
