time_stamp,sitting,standing,walking,grazing,x_value,y_value,z_value
2019-02-04 16:23:14,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:15,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:16,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:17,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:18,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:19,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:20,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:21,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:22,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:23,1.0,0.0,0.0,0.0,0.285,0.855,0.43
2019-02-04 16:23:24,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:25,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:26,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:27,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:28,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:29,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:30,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:31,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:32,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:33,1.0,0.0,0.0,0.0,0.227,0.457,1.383
2019-02-04 16:23:34,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:35,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:36,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:37,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:38,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:39,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:40,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:41,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:42,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:43,1.0,0.0,0.0,0.0,-0.125,0.914,0.414
2019-02-04 16:23:44,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:45,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:46,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:47,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:48,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:49,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:50,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:51,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:52,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:53,1.0,0.0,0.0,0.0,0.055,0.879,0.457
2019-02-04 16:23:54,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:23:55,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:23:56,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:23:57,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:23:58,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:23:59,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:24:00,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:24:01,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:24:02,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:24:03,1.0,0.0,0.0,0.0,0.207,0.801,0.535
2019-02-04 16:24:04,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:05,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:06,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:07,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:08,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:09,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:10,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:11,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:12,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:13,1.0,0.0,0.0,0.0,0.277,0.801,0.508
2019-02-04 16:24:14,1.0,0.0,0.0,0.0,0.559,0.645,0.512
2019-02-04 16:24:15,1.0,0.0,0.0,0.0,0.559,0.645,0.512
2019-02-04 16:24:16,1.0,0.0,0.0,0.0,0.559,0.645,0.512
2019-02-04 16:24:17,1.0,0.0,0.0,0.0,0.559,0.645,0.512
2019-02-04 16:24:18,1.0,0.0,0.0,0.0,0.559,0.645,0.512
2019-02-04 16:24:19,1.0,0.0,0.0,0.0,0.559,0.645,0.512
