x,y,z,sitting,standing,walking,grazing
-0.289,0.859,0.414,0,1,0,0
-0.242,0.879,0.406,0,1,0,0
-0.254,0.832,0.422,0,1,0,0
-0.281,0.867,0.43,0,1,0,0
-0.277,0.848,0.406,0,1,0,0
-0.215,0.852,0.426,0,1,0,0
-0.258,0.828,0.438,0,1,0,0
-0.25,0.855,0.43,0,1,0,0
-0.254,0.867,0.434,0,1,0,0
-0.289,0.824,0.43,0,1,0,0
-0.262,0.879,0.43,0,1,0,0
-0.242,0.844,0.438,0,1,0,0
-0.262,0.871,0.457,0,1,0,0
-0.266,0.844,0.414,0,1,0,0
-0.316,0.816,0.43,0,1,0,0
-0.32,0.867,0.465,0,1,0,0
-0.305,0.832,0.414,0,1,0,0
-0.316,0.82,0.426,0,1,0,0
-0.277,0.863,0.449,0,1,0,0
-0.297,0.809,0.465,0,1,0,0
-0.273,0.863,0.449,0,1,0,0
-0.289,0.832,0.453,0,1,0,0
-0.281,0.848,0.434,0,1,0,0
-0.297,0.832,0.434,0,1,0,0
-0.289,0.828,0.449,0,1,0,0
-0.289,0.84,0.445,0,1,0,0
-0.273,0.871,0.438,0,1,0,0
-0.27,0.828,0.449,0,1,0,0
-0.266,0.859,0.418,0,1,0,0
-0.297,0.871,0.43,0,1,0,0
-0.23,0.871,0.438,0,1,0,0
-0.234,0.832,0.43,0,1,0,0
-0.172,0.852,0.453,0,1,0,0
-0.145,0.855,0.465,0,1,0,0
-0.199,0.828,0.453,0,1,0,0
-0.223,0.836,0.5,0,1,0,0
-0.234,0.852,0.484,0,1,0,0
-0.254,0.844,0.48,0,1,0,0
-0.254,0.848,0.457,0,1,0,0
-0.27,0.828,0.461,0,1,0,0
-0.187,0.801,0.465,0,1,0,0
-0.195,0.879,0.488,0,1,0,0
-0.266,0.852,0.465,0,1,0,0
-0.187,0.871,0.457,0,1,0,0
-0.246,0.852,0.445,0,1,0,0
-0.238,0.898,0.422,0,1,0,0
-0.195,0.883,0.398,0,1,0,0
-0.289,0.938,0.43,0,1,0,0
-0.234,0.867,0.402,0,1,0,0
-0.258,0.93,0.414,0,1,0,0
-0.184,0.793,0.445,0,1,0,0
-0.246,0.879,0.43,0,1,0,0
-0.297,0.93,0.512,0,1,0,0
-0.195,0.805,0.426,0,1,0,0
