1705314144,0.59,-1.06,9.14
1705314146,0.51,-1.41,9.1
1705314147,-0.2,-1.33,9.02
1705314148,2.04,-0.16,9.53
1705314149,-0.35,0.24,6.55
1705314150,-0.04,2.24,8.51
1705314151,1.1,-0.39,11.53
1705314152,-0.2,0.08,8.63
1705314153,0.67,1.14,8.59
1705314154,0.86,1.84,9.14
1705314155,-1.49,0.9,12.2
1705314156,0.98,0.71,7.14
1705314157,0.12,1.37,8.24
1705314158,-0.16,1.57,10.08
1705314159,1.14,0.51,11.38
1705314160,-0.31,0.86,8.43
1705314161,0,2.47,8.75
1705314162,0.78,2.75,9.26
1705314163,-1.26,0.31,9.65
1705314164,1.06,0.71,6.39
1705314165,0.27,2.71,8.43
1705314166,0,2.75,8.43
1705314167,0.31,1.49,10.36
1705314168,0.08,1.65,6.39
1705314169,0.35,2.2,9.18
1705314170,0.98,2.31,6.79
1705314171,-0.39,-0.08,11.53
1705314172,1.53,0.71,11.45
1705314173,0.35,0.59,6.98
1705314174,0.75,2.59,8.79
1705314175,0.08,2.12,7.37
1705314176,0.16,0.08,10.43
1705314177,0.47,0.47,12
1705314178,-0.51,1.41,8.98
1705314179,0.98,1.61,8.08
1705314180,1.22,2.47,7.1
1705314181,0.78,2.59,8.55
1705314182,0.27,0.67,10.59
1705314183,-0.12,1.29,7.88
1705314184,0.98,0.86,9.02
1705314185,0.78,2.16,8.55
1705314186,0.12,2.9,7.57
1705314187,0.71,2.98,9.02
1705314188,-0.16,0.2,10.55
1705314189,1.06,0.78,12.24
1705314190,-0.39,1.37,7.37
1705314191,0.67,0.67,6.9
1705314192,0.39,1.53,8.32
1705314193,-0.04,3.84,8.39
1705314194,1.45,4.08,10.43
1705314195,-1.37,0.67,10.12
1705314197,0.24,1.88,7.14
1705314198,-0.27,2.82,6.86
1705314199,0.39,0.67,11.45
1705314200,-1.26,1.29,12.08
1705314201,1.37,1.37,8.94
1705314202,-0.31,2.24,7.53
1705314203,0.24,2.51,9.02
1705314204,-0.2,0.35,11.53
1705314205,1.06,1.57,11.81
1705314206,-1.02,1.57,7.02
1705314207,0.12,1.88,7.85
1705314208,0.98,3.1,7.26
1705314209,-0.27,2.94,7.1
1705314210,0.27,1.53,11.41
1705314211,-0.98,1.45,11.22
1705314212,-0.47,0.63,8.32
1705314213,-0.67,1.14,5.69
1705314214,-0.04,3.45,7.96
1705314215,0.27,3.26,7.37
1705314216,-1.53,2.47,10.08
1705314217,0.04,1.22,10.04
1705314218,0.16,1.57,9.26
1705314219,-0.71,2.79,7.3
1705314220,-0.51,2.12,7.96
1705314221,-2.35,2.08,12.79
1705314222,1.53,1.26,9.1
1705314223,-0.67,1.18,8
1705314224,-0.16,1.14,7.65
1705314225,1.45,0.35,12.63
1705314226,-0.67,0.94,5.84
1705314227,-0.08,2.63,8.63
1705314228,1.02,3.3,8.9
1705314229,-1.69,0.71,11.89
1705314230,0.67,0.9,7.22
1705314231,-0.43,1.1,8.32
1705314232,-0.08,3.26,8.12
1705314233,-0.08,1.57,11.3
1705314234,-1.29,1.41,12.32
1705314235,0.9,1.37,6.39
1705314236,0.47,2.94,8.04
1705314237,-1.02,2.51,8.94
1705314238,1.1,0.55,9.45
1705314239,-0.47,0.39,7.3
1705314240,0.27,3.14,8.87
1705314241,0.12,3.3,8.24
1705314242,-1.84,0.55,10.04
1705314243,0.94,1.14,6.98
1705314244,-0.39,1.65,8.47
1705314245,0.59,2,7.61
1705314247,-1.41,1.57,11.02
1705314248,0.51,0.63,7.61
1705314249,0.75,2.51,8.16
1705314250,-0.2,2.67,7.57
1705314251,0.94,2.12,10.75
1705314252,-0.86,1.8,11.34
1705314253,0.82,1.06,7.85
1705314254,-1.06,2.79,7.85
1705314255,0.67,2.51,7.65
1705314256,0.2,1.49,10.67
1705314257,-0.86,1.84,8.12
1705314258,-0.35,3.8,8.9
1705314259,0.71,1.69,11.3
1705314260,0.75,2.28,8.67
1705314261,0.43,2.51,8.47
1705314262,0.04,3.3,6.35
1705314263,0.67,0.71,11.69
1705314265,1.77,0.67,7.06
1705314266,0.08,2.55,8.79
1705314267,-1.88,2.75,8.47
1705314268,-0.82,-0.43,10.9
1705314269,1.57,-0.55,8
1705314270,0.16,0.39,9.02
